tweet,ensemble_sentiment
virginamerica dhepburn said,neutral
virginamerica plus youve added commercial experience tacky,negative
virginamerica didnt today must mean need take another trip,negative
virginamerica really aggressive blast obnoxious entertainment guest face amp little recourse,negative
virginamerica really big bad thing,negative
virginamerica seriously pay seat didnt playing really bad thing flying va,negative
virginamerica yes nearly every time fly vx ear worm wont go away,negative
virginamerica really missed prime opportunity men without hat parody httpstcomwpggrezp,negative
virginamerica well didntbut now d,positive
virginamerica amazing arrived hour early youre good,positive
virginamerica know suicide second leading cause death among teen,negative
virginamerica lt pretty graphic much better minimal iconography d,positive
virginamerica great deal already thinking nd trip australia amp havent even gone st trip yet p,positive
virginamerica virginmedia im flying fabulous seductive sky u take stress away travel httptcoahlxhhkiyn,positive
virginamerica thanks,positive
virginamerica sfopdx schedule still mia,negative
virginamerica excited first cross country lax mco ive heard nothing great thing virgin america daystogo,positive
virginamerica flew nyc sfo last week couldnt fully sit seat due two large gentleman either side help,negative
flying virginamerica,positive
virginamerica know amazingly awesome bosfll please want fly,positive
virginamerica first fare may three time carrier seat available select,neutral
virginamerica love graphic httptcoutgrrwaaa,positive
virginamerica love hipster innovation feel good brand,positive
virginamerica making bosgtlas non stop permanently anytime soon,neutral
virginamerica guy messed seating reserved seating friend guy gave seat away want free internet,negative
virginamerica status match program applied three week called emailed response,negative
virginamerica happened ur vegan food option least say ur site know wont able eat anything next hr fail,negative
virginamerica miss dont worry well together soon,neutral
virginamerica amazing cant cold air vent vx noair worstflightever roasted sfotobos,negative
virginamerica lax ewr middle seat red eye noob maneuver sendambien andchexmix,neutral
virginamerica hi bked cool birthday trip cant add elevate cause entered middle name booking problem,negative
virginamerica hour operation club sfo posted online current,neutral
virginamerica help left expensive headphone iad lax today seat one answering lampf number lax,negative
virginamerica awaiting return phone call prefer use online selfservice option,negative
virginamerica great news america start flight hawaii end year httptcorpzyfe via pacificbiznews,positive
nice rt virginamerica vibe moodlight takeoff touchdown moodlitmonday sciencebehindtheexperience httptcoyounxtqp,neutral
virginamerica moodlighting way fly best experience cool calming moodlitmonday,positive
virginamerica freddieawards done done best airline around hand,positive
virginamerica book hawaii,neutral
virginamerica chat support working site httptcovhpgtdwpk,negative
virginamerica view downtown los angeles hollywood sign beyond rain mountain httptcodwnfibtr,neutral
virginamerica hey first time flyer next week excited im hard time getting flight added elevate account help,negative
virginamerica plz help win bid upgrade laxgtsea,neutral
virginamerica unused ticket moved new city dont fly fly expires travelhelp,negative
virginamerica flight leaving dallas seattle time feb,neutral
virginamerica im elevategold good reason rock,positive
virginamerica dream httptcooadrfaoq httptcolwwdackhx,neutral
virginamerica wow blew mind,positive
virginamerica ladygaga carrieunderwood last night tribute soundofmusic oscar ladygaga think carrieunderwood agree,neutral
virginamerica ladygaga carrieunderwood entertaining,neutral
virginamerica way supposed take minute ago website still show time thanks,neutral
virginamerica ladygaga carrieunderwood julie andrew way though ladygaga impressive carrieunderwood,positive
virginamerica wish flew atlanta soon,neutral
virginamerica ladygaga carrieunderwood julie andrew hand,neutral
virginamerica flight leaving dallas la february th,neutral
virginamerica hi im excited lgagtdal deal ive trying book last week amp page never load thx,positive
virginamerica know need spotify stat guiltypleasures,positive
virginamerica ladygaga carrieunderwood im lady gaga amazing,positive
virginamerica ladygaga carrieunderwood carrie,neutral
virginamerica new marketing song httpstcoflfulcbq let u know think,neutral
virginamerica ladygaga carrieunderwood julie andrew first lady gaga wowd last night carrie meh,neutral
virginamerica called week ago adding flight elevatethey still havent shown uphelp,negative
virginamerica ladygaga carrieunderwood great go carrieunderwood,positive
virginamerica ladygaga carrieunderwood sorry mary martin first,neutral
virginamerica ladygaga carrieunderwood love three really cant beat classic,positive
virginamerica dal dca pm tried check status please,neutral
virginamerica heyyyy guyyyys trying hour someone call please,negative
virginamerica hi virgin im hold minute earlier flight la nyc tonight earlier pm,negative
virginamerica congrats winning travelzoo award best deal airline u httptcokjiljaebv,positive
virginamerica everything fine lost bag,negative
virginamerica need change reservation virgin credit card need modify phone waive change fee online,neutral
virginamerica emailed customer service team let know need tracking number,neutral
virginamerica hi booked need add baggage,neutral
virginamerica airline awesome lax loft need step game dirty table floor httptcohyvrfhjht,negative
virginamerica worried great ride new plane great crew airline,positive
virginamerica awesome flew yall sat morning way correct bill,positive
virginamerica watch best student film country foot cmfatfeet httptcokekpdmgif,neutral
virginamerica first time flying different ratepolicy medium bag thanks,neutral
virginamerica going customer service anyway speak human asap thank,negative
virginamerica happened doom,neutral
virginamerica cant supp biz traveler southwestair customer service jetblue neverflyvirginforbusiness,negative
virginamerica ive applied member inflight crew teamim interested flightattendant dreampath g,positive
virginamerica youre best whenever begrudgingly use airline im delayed late,negative
virginamerica interesting flying cancelled next four flight plannedneverflyvirginforbusiness,negative
virginamerica disappointing experience shared every business traveler meet neverflyvirgin,negative
virginamerica im trouble adding wife booked elevate account help httptcopxhqoksr,negative
virginamerica cant bring reservation online using booking problem code,negative
virginamerica random q whats distribution elevate avatar bet kitty disproportionate share httptcoaptzpurop,neutral
virginamerica lt flying va life happens trying change trip jperhi helpva home page let,neutral
virginamerica site back,negative
virginamerica rnp yeah know,neutral
virginamerica hi point elevate account recent add point account,neutral
virginamerica tv interesting video disappointed cancelled flightled flight went jfk saturday,negative
virginamerica landed lax hour late bag check business travel friendly nomorevirgin,negative
virginamerica redirected,neutral
virginamerica website btw new website isnt great user experience time another redesign,negative
virginamerica cant check add bag website isnt working ive tried desktop mobile httptcoavyqdmpiy,negative
virginamerica let scanned passenger leave plane told someone remove bag st class bin uncomfortable,negative
virginamerica phone number cant find call reservation,negative
virginamerica anyone anything today website useless one answering phone,negative
virginamerica trying add boy prince ressie sf thursday virginamerica lax httptcogsbjcgm,neutral
virginamerica must traveler miss late check bag missed morning appointment lost business sfolax,negative
virginamerica check new music httptcomarcnocwzn,neutral
virginamerica hows direct fllgtsfo unexpected layover vega fuel yet peep next bought vega sneaky,negative
virginamerica late bag check lost business missed apt three people exp,negative
virginamerica amazing customer service raeann sf shes best customerservice virginamerica flying,positive
virginamerica called service line hung awesome sarcasm,negative
virginamerica site tripping im trying check im getting plain text version reluctant enter card info,negative
virginamerica scheduled sfo dal today changed th due weather look still,neutral
virginamerica getaway deal may oneway lot cool city httptcotzzjhuibch cheapflights farecompare,positive
virginamerica getaway deal may oneway lot cool city httptcorpdbpxwnd cheapflights farecompare,neutral
virginamerica getaway deal may oneway lot cool city httptcobxiygt cheapflights farecompare,positive
virginamerica getaway deal may oneway lot cool city httptcoqdljhsloi cheapflights farecompare,positive
virginamerica great week,positive
virginamerica come back phl already need take u horrible cold pleasecomeback httptcoglxfwpnqh,negative
virginamerica concerned fly plane need delayed due tech stop,negative
