given_sentiment,given_sentiment_confidence,given_negative_reason,given_negative_reason_confidence,airline,retweet_count,tweet,sia_sentiment,sia_sentiment_confidence,bert_sentiment,bert_sentiment_confidence,roberta_sentiment,roberta_sentiment_confidence,distilbert_sentiment,distilbert_sentiment_confidence,ensemble_sentiment,ensemble_sentiment_confidence
neutral,1.0,,,Virgin America,0,virginamerica dhepburn said,neutral,1.0,neutral,0.9662749767303467,neutral,0.8615507483482361,positive,0.475649356842041,neutral,1.0
positive,0.3486,,0.0,Virgin America,0,virginamerica plus youve added commercial experience tacky,neutral,1.0,negative,0.9715266227722168,negative,0.8496612906455994,positive,0.6501520872116089,negative,0.9715266227722168
neutral,0.6837,,,Virgin America,0,virginamerica didnt today must mean need take another trip,neutral,1.0,negative,0.8469637036323547,negative,0.7304068207740784,positive,0.37128740549087524,negative,0.8469637036323547
negative,1.0,Bad Flight,0.7033,Virgin America,0,virginamerica really aggressive blast obnoxious entertainment guest face amp little recourse,negative,0.323,negative,0.9707104563713074,negative,0.9230726361274719,negative,0.7588788866996765,negative,1.0
negative,1.0,Can't Tell,1.0,Virgin America,0,virginamerica really big bad thing,negative,0.486,negative,0.9778953194618225,negative,0.9259567260742188,negative,0.9056792855262756,negative,1.0
negative,1.0,Can't Tell,0.6842,Virgin America,0,virginamerica seriously pay seat didnt playing really bad thing flying va,positive,0.208,negative,0.9603691101074219,negative,0.7814082503318787,negative,0.6908693909645081,negative,1.0
positive,0.6745,,0.0,Virgin America,0,virginamerica yes nearly every time fly vx ear worm wont go away,positive,0.197,negative,0.945925235748291,negative,0.6454575657844543,positive,0.40521240234375,negative,0.945925235748291
neutral,0.634,,,Virgin America,0,virginamerica really missed prime opportunity men without hat parody httpstcomwpggrezp,positive,0.226,negative,0.9681042432785034,negative,0.8690199851989746,negative,0.3842109739780426,negative,0.9681042432785034
positive,0.6559,,,Virgin America,0,virginamerica well didntbut now d,positive,0.412,neutral,0.5467199087142944,neutral,0.6341325044631958,negative,0.4338688552379608,positive,0.6559
positive,1.0,,,Virgin America,0,virginamerica amazing arrived hour early youre good,positive,0.573,positive,0.9925866723060608,positive,0.9650267362594604,positive,0.9454954862594604,positive,1.0
neutral,0.6769,,0.0,Virgin America,0,virginamerica know suicide second leading cause death among teen,negative,0.545,negative,0.9354203939437866,negative,0.6843131184577942,negative,0.7624661326408386,negative,0.9354203939437866
positive,1.0,,,Virgin America,0,virginamerica lt pretty graphic much better minimal iconography d,positive,0.504,positive,0.8555258512496948,positive,0.5417593121528625,positive,0.6520848870277405,positive,1.0
positive,1.0,,,Virgin America,0,virginamerica great deal already thinking nd trip australia amp havent even gone st trip yet p,positive,0.227,positive,0.9531917572021484,positive,0.9207663536071777,positive,0.6212700605392456,positive,1.0
positive,0.6451,,,Virgin America,0,virginamerica virginmedia im flying fabulous seductive sky u take stress away travel httptcoahlxhhkiyn,positive,0.21,positive,0.9707109332084656,positive,0.9620383381843567,negative,0.49401262402534485,positive,0.9707109332084656
positive,1.0,,,Virgin America,0,virginamerica thanks,positive,0.744,neutral,0.5530611276626587,neutral,0.6961029767990112,positive,0.9148119688034058,positive,1.0
negative,0.6842,Late Flight,0.3684,Virgin America,0,virginamerica sfopdx schedule still mia,negative,0.355,neutral,0.5380505919456482,negative,0.5944591164588928,positive,0.4375079274177551,negative,0.6842
