given_negative_reason,given_negative_reason_confidence,airline,retweet_count,tweet,ensemble_sentiment,ensemble_sentiment_confidence
,,Virgin America,0,virginamerica dhepburn said,neutral,1.0
,0.0,Virgin America,0,virginamerica plus youve added commercial experience tacky,negative,0.9715266227722168
,,Virgin America,0,virginamerica didnt today must mean need take another trip,negative,0.8469637036323547
Bad Flight,0.7033,Virgin America,0,virginamerica really aggressive blast obnoxious entertainment guest face amp little recourse,negative,1.0
Can't Tell,1.0,Virgin America,0,virginamerica really big bad thing,negative,1.0
Can't Tell,0.6842,Virgin America,0,virginamerica seriously pay seat didnt playing really bad thing flying va,negative,1.0
,0.0,Virgin America,0,virginamerica yes nearly every time fly vx ear worm wont go away,negative,0.945925235748291
,,Virgin America,0,virginamerica really missed prime opportunity men without hat parody httpstcomwpggrezp,negative,0.9681042432785034
,,Virgin America,0,virginamerica well didntbut now d,positive,0.6559
,,Virgin America,0,virginamerica amazing arrived hour early youre good,positive,1.0
,0.0,Virgin America,0,virginamerica know suicide second leading cause death among teen,negative,0.9354203939437866
,,Virgin America,0,virginamerica lt pretty graphic much better minimal iconography d,positive,1.0
,,Virgin America,0,virginamerica great deal already thinking nd trip australia amp havent even gone st trip yet p,positive,1.0
,,Virgin America,0,virginamerica virginmedia im flying fabulous seductive sky u take stress away travel httptcoahlxhhkiyn,positive,0.9707109332084656
,,Virgin America,0,virginamerica thanks,positive,1.0
Late Flight,0.3684,Virgin America,0,virginamerica sfopdx schedule still mia,negative,0.6842
,,Virgin America,0,virginamerica excited first cross country lax mco ive heard nothing great thing virgin america daystogo,positive,1.0
Bad Flight,1.0,Virgin America,0,virginamerica flew nyc sfo last week couldnt fully sit seat due two large gentleman either side help,negative,1.0
,,Virgin America,0,flying virginamerica,positive,1.0
,,Virgin America,0,virginamerica know amazingly awesome bosfll please want fly,positive,1.0
Can't Tell,0.3614,Virgin America,0,virginamerica first fare may three time carrier seat available select,neutral,0.9308865666389465
,,Virgin America,0,virginamerica love graphic httptcoutgrrwaaa,positive,1.0
,,Virgin America,0,virginamerica love hipster innovation feel good brand,positive,1.0
,,Virgin America,0,virginamerica making bosgtlas non stop permanently anytime soon,neutral,1.0
Customer Service Issue,0.3557,Virgin America,0,virginamerica guy messed seating reserved seating friend guy gave seat away want free internet,negative,1.0
Customer Service Issue,1.0,Virgin America,0,virginamerica status match program applied three week called emailed response,negative,1.0
Can't Tell,0.6614,Virgin America,0,virginamerica happened ur vegan food option least say ur site know wont able eat anything next hr fail,negative,1.0
,,Virgin America,0,virginamerica miss dont worry well together soon,neutral,0.8575633764266968
Bad Flight,1.0,Virgin America,0,virginamerica amazing cant cold air vent vx noair worstflightever roasted sfotobos,negative,1.0
,0.0,Virgin America,0,virginamerica lax ewr middle seat red eye noob maneuver sendambien andchexmix,neutral,0.9657226800918579
Flight Booking Problems,1.0,Virgin America,0,virginamerica hi bked cool birthday trip cant add elevate cause entered middle name booking problem,negative,1.0
,,Virgin America,0,virginamerica hour operation club sfo posted online current,neutral,1.0
Customer Service Issue,1.0,Virgin America,0,virginamerica help left expensive headphone iad lax today seat one answering lampf number lax,negative,1.0
Customer Service Issue,1.0,Virgin America,0,virginamerica awaiting return phone call prefer use online selfservice option,negative,1.0
,,Virgin America,0,virginamerica great news america start flight hawaii end year httptcorpzyfe via pacificbiznews,positive,1.0
,,Virgin America,0,nice rt virginamerica vibe moodlight takeoff touchdown moodlitmonday sciencebehindtheexperience httptcoyounxtqp,neutral,0.6207
,,Virgin America,0,virginamerica moodlighting way fly best experience cool calming moodlitmonday,positive,1.0
